,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,95,DeAndre' Bembry,SG,6-5,210,1994-07-04,US,3,Saint Joseph's
1,4,Charlie Brown,SG,6-6,199,1997-02-02,US,R,Saint Joseph's
2,15,Vince Carter,PF,6-6,220,1977-01-26,US,21,UNC
3,20,John Collins,PF,6-9,235,1997-09-23,US,2,Wake Forest
4,33,Allen Crabbe,SG,6-5,212,1992-04-09,US,6,California
5,14,Dewayne Dedmon,C,7-0,245,1989-08-12,US,6,USC
6,24,Bruno Fernando,C,6-9,240,1998-08-15,AO,R,Maryland
7,0,Brandon Goodwin,PG,6-0,180,1995-10-02,US,1,"Central Florida, Florida Gulf Coast"
8,2,Treveon Graham,SF,6-5,219,1993-10-28,US,3,VCU
9,3,Kevin Huerter,SG,6-7,190,1998-08-27,US,1,Maryland
10,12,De'Andre Hunter,SF,6-7,225,1997-12-02,US,R,Virginia
11,30,Damian Jones,C,6-11,245,1995-06-30,US,3,Vanderbilt
12,25,Alex Len,C,7-0,250,1993-06-16,UA,6,Maryland
13,5,Jabari Parker,PF,6-8,245,1995-03-15,US,5,Duke
14,31,Chandler Parsons,PF,6-9,230,1988-10-25,US,8,Florida
15,22,Cam Reddish,SF,6-8,218,1999-09-01,US,R,Duke
16,0,Jeff Teague,PG,6-3,195,1988-06-10,US,10,Wake Forest
17,1,Evan Turner,SG,6-6,220,1988-10-27,US,9,Ohio State
18,8,Tyrone Wallace,SG,6-5,198,1994-06-10,US,2,California
19,2,Paul Watson,SF,6-7,215,1994-12-30,US,R,Fresno State
20,11,Trae Young,PG,6-1,180,1998-09-19,US,1,Oklahoma
0,34,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR,6,
1,43,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,1,
2,17,Dragan Bender,C,7-0,225,1997-11-17,BA,3,
3,6,Eric Bledsoe,PG,6-1,214,1989-12-09,US,9,Kentucky
4,23,Sterling Brown,SF,6-5,219,1995-02-10,US,2,SMU
5,24,Pat Connaughton,SG,6-5,209,1993-01-06,US,4,Notre Dame
6,0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,1,Villanova
7,3,George Hill,PG,6-3,188,1986-05-04,US,11,IUPUI
8,7,Ersan Ä°lyasova,PF,6-9,235,1987-05-15,TR,11,
9,26,Kyle Korver,SF,6-7,212,1981-03-17,US,16,Creighton
10,11,Brook Lopez,C,7-0,282,1988-04-01,US,11,Stanford
11,42,Robin Lopez,C,7-0,281,1988-04-01,US,11,Stanford
12,15,Frank Mason,PG,5-11,190,1994-04-03,US,2,Kansas
13,9,Wesley Matthews,SG,6-4,220,1986-10-14,US,10,Marquette
14,22,Khris Middleton,SF,6-7,222,1991-08-12,US,7,Texas A&M
15,20,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
16,5,D.J. Wilson,PF,6-10,231,1996-02-19,US,2,Michigan
0,7,Jaylen Brown,SG,6-6,223,1996-10-24,US,3,California
1,4,Carsen Edwards,SG,5-11,200,1998-03-12,US,R,Purdue
2,99,Tacko Fall,C,7-5,311,1995-12-10,SN,R,Central Florida
3,43,Javonte Green,SG,6-4,205,1993-07-23,US,R,Radford
4,20,Gordon Hayward,SF,6-7,225,1990-03-23,US,9,Butler
5,11,Enes Kanter,C,6-10,250,1992-05-20,CH,8,
6,45,Romeo Langford,SG,6-4,216,1999-10-25,US,R,Indiana
7,37,Semi Ojeleye,PF,6-6,240,1994-12-05,US,2,"Duke, SMU"
8,77,Vincent Poirier,C,7-0,235,1993-10-17,FR,R,
9,36,Marcus Smart,SG,6-3,220,1994-03-06,US,5,Oklahoma State
10,0,Jayson Tatum,PF,6-8,210,1998-03-03,US,2,Duke
11,27,Daniel Theis,C,6-8,245,1992-04-04,DE,2,
12,8,Kemba Walker,PG,6-0,184,1990-05-08,US,8,UConn
13,9,Brad Wanamaker,PG,6-3,210,1989-07-25,US,1,Pitt
14,51,Tremont Waters,PG,5-10,175,1998-01-10,US,R,LSU
15,12,Grant Williams,PF,6-6,236,1998-11-30,US,R,Tennessee
16,44,Robert Williams,C,6-8,237,1997-10-17,US,1,Texas A&M
0,31,Jarrett Allen,C,6-11,243,1998-04-21,US,2,Texas
1,10,Justin Anderson,SG,6-6,230,1993-11-19,US,4,Virginia
2,21,Wilson Chandler,PF,6-8,235,1987-05-10,US,11,DePaul
3,4,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
4,33,Nicolas Claxton,C,6-11,215,1999-04-17,US,R,Georgia
5,1,Jamal Crawford,SG,6-5,185,1980-03-20,US,19,Michigan
6,8-26,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,5,Colorado
7,4,Henry Ellenson,C,6-10,240,1997-01-13,US,3,Marquette
8,45,Donta Hall,C,6-9,232,1997-08-07,US,R,Alabama
9,12,Joe Harris,SF,6-6,220,1991-09-06,US,5,Virginia
10,11,Kyrie Irving,PG,6-2,195,1992-03-23,AU,8,Duke
11,8,Tyler Johnson,SG,6-3,186,1992-05-07,US,5,Fresno State
12,6,DeAndre Jordan,C,6-11,265,1988-07-21,US,11,Texas A&M
13,00,Rodions Kurucs,PF,6-9,228,1998-02-05,LV,1,
14,22,Caris LeVert,SG,6-6,205,1994-08-25,US,3,Michigan
15,9,TimothÃ© Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,3,
16,0,Jeremiah Martin,PG,6-3,185,1996-06-19,US,R,Memphis
17,13,DÅ¾anan Musa,SF,6-9,217,1999-05-08,BA,1,
18,0,David Nwaba,SG,6-5,219,1993-01-14,US,3,Cal Poly
19,1,Theo Pinson,SG,6-5,212,1995-11-05,US,1,UNC
20,2,Taurean Prince,PF,6-7,218,1994-03-22,US,3,Baylor
21,10,Iman Shumpert,SF,6-5,215,1990-06-26,US,8,Georgia Tech
22,17,Garrett Temple,SG,6-5,195,1986-05-08,US,9,LSU
23,42,Lance Thomas,PF,6-8,240,1988-04-24,US,8,Duke
0,51,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,2,Villanova
1,34,Wendell Carter,C,6-9,270,1999-04-16,US,1,Duke
2,32,Kris Dunn,PG,6-3,205,1994-03-18,US,3,Providence
3,6,Cristiano FelÃ­cio,C,6-10,270,1992-07-07,BR,4,
4,12,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
5,3,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
6,15,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
7,2,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
8,8,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
9,24,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
10,20,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
11,22,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
12,31,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
13,28,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
14,45,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
15,0,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
16,21,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
0,7,Dwayne Bacon,SG,6-6,221,1995-08-30,US,2,Florida State
1,5,Nicolas Batum,SF,6-9,230,1988-12-14,FR,11,
2,8,Bismack Biyombo,C,6-8,255,1992-08-28,CD,8,
3,0,Miles Bridges,SF,6-6,225,1998-03-21,US,1,Michigan State
4,31,Joe Chealey,PG,6-3,190,1995-11-01,US,1,College of Charleston
5,4,Devonte' Graham,PG,6-1,195,1995-02-22,US,1,Kansas
6,9,Willy HernangÃ³mez,C,6-11,250,1994-05-27,ES,3,
7,14,Michael Kidd-Gilchrist,PF,6-6,232,1993-09-26,US,7,Kentucky
8,10,Caleb Martin,SF,6-5,205,1995-09-28,US,R,"NC State, Nevada"
9,11,Cody Martin,SF,6-5,205,1995-09-28,US,R,"NC State, Nevada"
10,6,Jalen McDaniels,SF,6-10,205,1998-01-31,US,R,San Diego State
11,1,Malik Monk,SG,6-3,200,1998-02-04,US,2,Kentucky
12,3,Terry Rozier,PG,6-1,190,1994-03-17,US,4,Louisville
13,25,P.J. Washington,PF,6-7,230,1998-08-23,US,R,Kentucky
14,2,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
15,40,Cody Zeller,C,7-0,240,1992-10-05,US,6,Indiana
0,5,Marques Bolden,C,6-11,245,1998-04-17,US,R,Duke
1,8,Jordan Clarkson,SG,6-4,194,1992-06-07,US,5,"Tulsa, Missouri"
2,21,Tyler Cook,PF,6-8,255,1997-09-23,US,R,Iowa
3,18,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,6,Saint Mary's
4,3,Andre Drummond,C,6-10,279,1993-08-10,US,7,UConn
5,1,Dante Exum,SG,6-5,214,1995-07-13,AU,4,
6,10,Darius Garland,SG,6-1,192,2000-01-26,US,R,Vanderbilt
7,31,John Henson,C,6-9,219,1990-12-28,US,7,UNC
8,20,Brandon Knight,SG,6-2,182,1991-12-02,US,7,Kentucky
9,0,Kevin Love,PF,6-8,251,1988-09-07,US,11,UCLA
10,55,J.P. Macura,SG,6-5,203,1995-06-05,US,1,Xavier
11,28,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,2,Green Bay
12,31,Matt Mooney,SG,6-3,199,1997-02-07,US,R,"Air Force, South Dakota, Texas Tech"
13,22,Larry Nance,PF,6-7,245,1993-01-01,US,4,Wyoming
14,14,Malik Newman,SG,6-3,190,1997-02-21,US,R,"Mississippi State, Kansas"
15,16,Cedi Osman,SF,6-7,230,1995-04-08,MK,2,
16,4,Kevin Porter,SF,6-4,203,2000-05-04,US,R,USC
17,2,Collin Sexton,PG,6-1,190,1999-01-04,US,1,Alabama
18,13,Tristan Thompson,PF,6-9,254,1991-03-13,CA,8,Texas
19,32,Dean Wade,PF,6-9,228,1996-11-20,US,R,Kansas State
20,41,Ante Å½iÅ¾iÄ‡,C,6-10,266,1997-01-04,HR,2,
0,5,J.J. Barea,PG,5-10,180,1984-06-26,PR,13,Northeastern University
1,45,Ryan Broekhoff,SF,6-6,215,1990-08-23,AU,1,Valparaiso
2,13,Jalen Brunson,PG,6-1,190,1996-08-31,US,1,Villanova
3,32,Trey Burke,PG,6-0,185,1992-11-12,US,6,Michigan
4,33,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,4,Kentucky
5,3,Antonius Cleveland,SG,6-5,195,1994-02-02,US,1,SE Missouri State
6,30,Seth Curry,SG,6-2,185,1990-08-23,US,5,"Liberty, Duke"
7,77,Luka DonÄiÄ‡,PG,6-7,230,1999-02-28,SI,1,
8,10,Dorian Finney-Smith,PF,6-7,220,1993-05-04,US,3,Florida
9,11,Tim Hardaway,SG,6-5,205,1992-03-16,US,6,Michigan
10,44,Justin Jackson,PF,6-7,220,1995-03-28,US,2,UNC
11,9,Michael Kidd-Gilchrist,PF,6-6,232,1993-09-26,US,7,Kentucky
12,42,Maxi Kleber,PF,6-10,240,1992-01-29,DE,2,
13,1,Courtney Lee,SG,6-5,215,1985-10-03,US,11,Western Kentucky
14,51,Boban MarjanoviÄ‡,C,7-4,290,1988-08-15,RS,4,
15,6,Kristaps PorziÅ†Ä£is,C,7-3,240,1995-08-02,LV,3,
16,7,Dwight Powell,C,6-10,240,1991-07-20,CA,5,Stanford
17,23,Josh Reaves,SF,6-4,214,1997-06-04,US,R,Penn State
18,55,Delon Wright,PG,6-5,185,1992-04-26,US,4,Utah
0,5,Will Barton,SF,6-5,181,1991-01-06,US,7,Memphis
1,6,Keita Bates-Diop,SF,6-8,229,1996-01-23,US,1,Ohio State
2,25,Malik Beasley,SG,6-4,187,1996-11-26,US,3,Florida State
3,10,Bol Bol,PF,7-2,220,1999-11-16,SD,R,Oregon
4,31,Vlatko ÄŒanÄar,PF,6-8,236,1997-04-10,SI,R,
5,25,Tyler Cook,SF,6-8,255,1997-09-23,US,R,Iowa
6,3,Torrey Craig,SF,6-7,221,1990-12-19,US,2,USC Upstate
7,30,Troy Daniels,SG,6-4,200,1991-07-15,US,6,VCU
8,35,PJ Dozier,SG,6-6,205,1996-10-25,US,2,South Carolina
9,9,Jerami Grant,PF,6-8,210,1994-03-12,US,5,Syracuse
10,14,Gary Harris,SG,6-4,210,1994-09-14,US,5,Michigan State
11,41,Juan HernangÃ³mez,PF,6-9,214,1995-09-28,ES,3,
12,15,Nikola JokiÄ‡,C,7-0,284,1995-02-19,RS,4,
13,52,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
14,4,Paul Millsap,PF,6-7,257,1985-02-10,US,13,Louisiana Tech
15,11,Monte Morris,PG,6-2,183,1995-06-27,US,2,Iowa State
16,27,Jamal Murray,PG,6-4,215,1997-02-23,CA,3,Kentucky
17,7-24,Mason Plumlee,C,6-11,254,1990-03-05,US,6,Duke
18,1,Michael Porter,SF,6-10,218,1998-06-29,US,R,Missouri
19,6,Jarred Vanderbilt,PF,6-9,214,1999-04-03,US,1,Kentucky
20,32,Noah Vonleh,C,6-10,257,1995-08-24,US,5,Indiana
0,18,Jordan Bone,PG,6-3,180,1997-11-05,US,R,Tennessee
1,6,Bruce Brown,PG,6-4,202,1996-08-15,US,1,Miami (FL)
2,45,Sekou Doumbouya,PF,6-8,230,2000-12-23,GN,R,
3,0,Andre Drummond,C,6-10,279,1993-08-10,US,7,UConn
4,12,Tim Frazier,PG,6-0,170,1990-11-01,US,5,Penn State
5,9,Langston Galloway,SG,6-1,200,1991-12-09,US,5,Saint Joseph's
6,23,Blake Griffin,PF,6-9,250,1989-03-16,US,9,Oklahoma
7,42,Donta Hall,PF,6-9,232,1997-08-07,US,R,Alabama
8,31,John Henson,C,6-9,219,1990-12-28,US,7,UNC
9,1,Reggie Jackson,PG,6-3,208,1990-04-16,IT,8,Boston College
10,5,Luke Kennard,SG,6-5,206,1996-06-24,US,2,Duke
11,14,Louis King,SF,6-7,205,1999-04-06,US,R,Oregon
12,20,Brandon Knight,PG,6-2,182,1991-12-02,US,7,Kentucky
13,7,Thon Maker,C,7-0,221,1997-02-25,SS,3,
14,52,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
15,8-88,Markieff Morris,PF,6-8,245,1989-09-02,US,8,Kansas
16,19,Sviatoslav Mykhailiuk,SF,6-7,205,1997-06-10,UA,1,Kansas
17,25,Derrick Rose,PG,6-2,200,1988-10-04,US,10,Memphis
18,17,Tony Snell,SF,6-6,213,1991-11-10,US,6,New Mexico
19,13,Khyri Thomas,SG,6-3,210,1996-05-08,US,1,Creighton
20,12,Derrick Walton,PG,6-0,189,1995-04-03,US,1,Michigan
21,35,Christian Wood,PF,6-10,214,1995-09-27,US,3,UNLV
0,10,Dragan Bender,PF,7-0,225,1997-11-17,BA,3,
1,12,Ky Bowman,PG,6-1,187,1997-06-16,US,R,Boston College
2,8-20,Alec Burks,SF,6-6,214,1991-07-20,US,8,Colorado
3,2,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,4,Kentucky
4,32,Marquese Chriss,PF,6-9,240,1997-07-02,US,3,Washington
5,30,Stephen Curry,PG,6-3,185,1988-03-14,US,10,Davidson
6,10,Jacob Evans,SG,6-4,210,1997-06-18,US,1,Cincinnati
7,23,Draymond Green,PF,6-6,230,1990-03-04,US,7,Michigan State
8,1,Damion Lee,SG,6-5,210,1992-10-21,US,2,"Drexel, Louisville"
9,5,Kevon Looney,C,6-9,222,1996-02-06,US,4,UCLA
10,15,Mychal Mulder,SF,6-4,184,1994-06-12,CA,R,"Vincennes, Kentucky"
11,21,Zach Norvell,SG,6-5,206,1997-12-09,US,R,Gonzaga
12,20,Jeremy Pargo,PG,6-2,219,1986-03-17,US,2,Gonzaga
13,7,Eric Paschall,PF,6-6,255,1996-11-04,US,R,"Fordham, Villanova"
14,3,Jordan Poole,SG,6-4,194,1999-06-19,US,R,Michigan
15,25,Chasson Randle,PG,6-2,185,1993-02-05,US,2,Stanford
16,22,Glenn Robinson,SF,6-6,222,1994-01-08,US,5,Michigan
17,0,D'Angelo Russell,PG,6-4,193,1996-02-23,US,4,Ohio State
18,6,Alen SmailagiÄ‡,C,6-10,215,2000-08-18,RS,R,
19,4,Omari Spellman,C,6-8,245,1997-07-21,US,1,Villanova
20,95,Juan Toscano-Anderson,SG,6-6,209,1993-04-10,US,R,Marquette
21,22,Andrew Wiggins,SF,6-7,197,1995-02-23,CA,5,Kansas
0,43,Jonah Bolden,C,6-8,220,1996-01-02,AU,1,UCLA
1,23,Trey Burke,PG,6-0,185,1992-11-12,US,6,Michigan
2,20,Alec Burks,SG,6-6,214,1991-07-20,US,8,Colorado
3,21,Joel Embiid,C,7-0,280,1994-03-16,CM,3,Kansas
4,11,James Ennis,SF,6-6,215,1990-07-01,US,5,Cal State Long Beach
5,12,Tobias Harris,PF,6-8,226,1992-07-15,US,8,Tennessee
6,42,Al Horford,C,6-9,240,1986-06-03,DO,12,Florida
7,30,Furkan Korkmaz,SG,6-7,202,1997-07-24,TR,2,
8,18,Shake Milton,SG,6-5,205,1996-09-26,US,1,SMU
9,19,Raul Neto,PG,6-1,180,1992-05-19,BR,4,
10,9,Kyle O'Quinn,C,6-9,250,1990-03-26,US,7,Norfolk State
11,14,Norvel Pelle,C,6-10,231,1993-02-03,AG,R,
12,0,Josh Richardson,SG,6-5,200,1993-09-15,US,4,Tennessee
13,40,Glenn Robinson,SF,6-6,222,1994-01-08,US,5,Michigan
14,1,Mike Scott,PF,6-7,237,1988-07-16,US,7,Virginia
15,35,Marial Shayok,SG,6-5,198,1995-07-26,CA,R,"Virginia, Iowa State"
16,25,Ben Simmons,PG,6-10,240,1996-07-20,AU,2,LSU
17,5,Zhaire Smith,SF,6-3,205,1999-06-04,US,1,Texas Tech
18,22,Matisse Thybulle,SG,6-5,201,1997-03-04,US,R,Washington
0,33,Ryan Anderson,C,6-9,240,1988-05-06,US,11,California
1,5,Bruno Caboclo,C,6-9,218,1995-09-21,BR,5,
2,15,Clint Capela,C,6-10,240,1994-05-18,CH,5,
3,9,DeMarre Carroll,C,6-6,215,1986-07-27,US,10,"Vanderbilt, Missouri"
4,19,Tyson Chandler,C,7-0,235,1982-10-02,US,18,
5,6,Gary Clark,PF,6-6,225,1994-11-16,US,1,Cincinnati
6,3,Chris Clemons,SG,5-9,180,1997-07-23,US,R,Campbell
7,33,Robert Covington,C,6-7,209,1990-12-14,US,6,Tennessee State
8,21,Michael Frazier,SG,6-3,200,1994-03-08,US,R,Florida
9,10,Eric Gordon,SF,6-3,215,1988-12-25,US,11,Indiana
10,32,Jeff Green,C,6-8,235,1986-08-28,US,11,Georgetown
11,13,James Harden,SG,6-5,220,1989-08-26,US,10,Arizona State
12,55,Isaiah Hartenstein,C,7-0,249,1998-05-05,US,1,
13,4,Danuel House,SF,6-6,220,1993-06-07,US,3,Texas A&M
14,52,William Howard,PF,6-8,207,1993-10-25,FR,R,
15,12,Luc Mbah a Moute,PF,6-8,230,1986-09-09,CM,11,UCLA
16,16,Ben McLemore,SF,6-3,195,1993-02-11,US,6,Kansas
17,25,Austin Rivers,SG,6-3,200,1992-08-01,US,7,Duke
18,18,Thabo Sefolosha,PF,6-6,215,1984-05-02,CH,13,
