,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,DeAndre' Bembry,SG,6-5,210,1994-07-04,US,3,Saint Joseph's
1,Charlie Brown,SG,6-6,199,1997-02-02,US,R,Saint Joseph's
2,Vince Carter,PF,6-6,220,1977-01-26,US,21,UNC
3,John Collins,PF,6-9,235,1997-09-23,US,2,Wake Forest
4,Allen Crabbe,SG,6-5,212,1992-04-09,US,6,California
5,Dewayne Dedmon,C,7-0,245,1989-08-12,US,6,USC
6,Bruno Fernando,C,6-9,240,1998-08-15,AO,R,Maryland
7,Brandon Goodwin,PG,6-0,180,1995-10-02,US,1,"Central Florida, Florida Gulf Coast"
8,Treveon Graham,SF,6-5,219,1993-10-28,US,3,VCU
9,Kevin Huerter,SG,6-7,190,1998-08-27,US,1,Maryland
10,De'Andre Hunter,SF,6-7,225,1997-12-02,US,R,Virginia
11,Damian Jones,C,6-11,245,1995-06-30,US,3,Vanderbilt
12,Alex Len,C,7-0,250,1993-06-16,UA,6,Maryland
13,Jabari Parker,PF,6-8,245,1995-03-15,US,5,Duke
14,Chandler Parsons,PF,6-9,230,1988-10-25,US,8,Florida
15,Cam Reddish,SF,6-8,218,1999-09-01,US,R,Duke
16,Jeff Teague,PG,6-3,195,1988-06-10,US,10,Wake Forest
17,Evan Turner,SG,6-6,220,1988-10-27,US,9,Ohio State
18,Tyrone Wallace,SG,6-5,198,1994-06-10,US,2,California
19,Paul Watson,SF,6-7,215,1994-12-30,US,R,Fresno State
20,Trae Young,PG,6-1,180,1998-09-19,US,1,Oklahoma
21,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR,6,
22,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,1,
23,Dragan Bender,C,7-0,225,1997-11-17,BA,3,
24,Eric Bledsoe,PG,6-1,214,1989-12-09,US,9,Kentucky
25,Sterling Brown,SF,6-5,219,1995-02-10,US,2,SMU
26,Pat Connaughton,SG,6-5,209,1993-01-06,US,4,Notre Dame
27,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,1,Villanova
28,George Hill,PG,6-3,188,1986-05-04,US,11,IUPUI
29,Ersan Ä°lyasova,PF,6-9,235,1987-05-15,TR,11,
30,Kyle Korver,SF,6-7,212,1981-03-17,US,16,Creighton
31,Brook Lopez,C,7-0,282,1988-04-01,US,11,Stanford
32,Robin Lopez,C,7-0,281,1988-04-01,US,11,Stanford
33,Frank Mason,PG,5-11,190,1994-04-03,US,2,Kansas
34,Wesley Matthews,SG,6-4,220,1986-10-14,US,10,Marquette
35,Khris Middleton,SF,6-7,222,1991-08-12,US,7,Texas A&M
36,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
37,D.J. Wilson,PF,6-10,231,1996-02-19,US,2,Michigan
38,Jaylen Brown,SG,6-6,223,1996-10-24,US,3,California
39,Carsen Edwards,SG,5-11,200,1998-03-12,US,R,Purdue
40,Tacko Fall,C,7-5,311,1995-12-10,SN,R,Central Florida
41,Javonte Green,SG,6-4,205,1993-07-23,US,R,Radford
42,Gordon Hayward,SF,6-7,225,1990-03-23,US,9,Butler
43,Enes Kanter,C,6-10,250,1992-05-20,CH,8,
44,Romeo Langford,SG,6-4,216,1999-10-25,US,R,Indiana
45,Semi Ojeleye,PF,6-6,240,1994-12-05,US,2,"Duke, SMU"
46,Vincent Poirier,C,7-0,235,1993-10-17,FR,R,
47,Marcus Smart,SG,6-3,220,1994-03-06,US,5,Oklahoma State
48,Jayson Tatum,PF,6-8,210,1998-03-03,US,2,Duke
49,Daniel Theis,C,6-8,245,1992-04-04,DE,2,
50,Kemba Walker,PG,6-0,184,1990-05-08,US,8,UConn
51,Brad Wanamaker,PG,6-3,210,1989-07-25,US,1,Pitt
52,Tremont Waters,PG,5-10,175,1998-01-10,US,R,LSU
53,Grant Williams,PF,6-6,236,1998-11-30,US,R,Tennessee
54,Robert Williams,C,6-8,237,1997-10-17,US,1,Texas A&M
55,Jarrett Allen,C,6-11,243,1998-04-21,US,2,Texas
56,Justin Anderson,SG,6-6,230,1993-11-19,US,4,Virginia
57,Wilson Chandler,PF,6-8,235,1987-05-10,US,11,DePaul
58,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
59,Nicolas Claxton,C,6-11,215,1999-04-17,US,R,Georgia
60,Jamal Crawford,SG,6-5,185,1980-03-20,US,19,Michigan
61,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,5,Colorado
62,Henry Ellenson,C,6-10,240,1997-01-13,US,3,Marquette
63,Donta Hall,C,6-9,232,1997-08-07,US,R,Alabama
64,Joe Harris,SF,6-6,220,1991-09-06,US,5,Virginia
65,Kyrie Irving,PG,6-2,195,1992-03-23,AU,8,Duke
66,Tyler Johnson,SG,6-3,186,1992-05-07,US,5,Fresno State
67,DeAndre Jordan,C,6-11,265,1988-07-21,US,11,Texas A&M
68,Rodions Kurucs,PF,6-9,228,1998-02-05,LV,1,
69,Caris LeVert,SG,6-6,205,1994-08-25,US,3,Michigan
70,TimothÃ© Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,3,
71,Jeremiah Martin,PG,6-3,185,1996-06-19,US,R,Memphis
72,DÅ¾anan Musa,SF,6-9,217,1999-05-08,BA,1,
73,David Nwaba,SG,6-5,219,1993-01-14,US,3,Cal Poly
74,Theo Pinson,SG,6-5,212,1995-11-05,US,1,UNC
75,Taurean Prince,PF,6-7,218,1994-03-22,US,3,Baylor
76,Iman Shumpert,SF,6-5,215,1990-06-26,US,8,Georgia Tech
77,Garrett Temple,SG,6-5,195,1986-05-08,US,9,LSU
78,Lance Thomas,PF,6-8,240,1988-04-24,US,8,Duke
79,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,2,Villanova
80,Wendell Carter,C,6-9,270,1999-04-16,US,1,Duke
81,Kris Dunn,PG,6-3,205,1994-03-18,US,3,Providence
82,Cristiano FelÃ­cio,C,6-10,270,1992-07-07,BR,4,
83,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
84,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
85,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
86,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
87,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
88,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
89,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
90,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
91,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
92,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
93,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
94,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
95,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
96,Dwayne Bacon,SG,6-6,221,1995-08-30,US,2,Florida State
97,Nicolas Batum,SF,6-9,230,1988-12-14,FR,11,
98,Bismack Biyombo,C,6-8,255,1992-08-28,CD,8,
99,Miles Bridges,SF,6-6,225,1998-03-21,US,1,Michigan State
100,Joe Chealey,PG,6-3,190,1995-11-01,US,1,College of Charleston
101,Devonte' Graham,PG,6-1,195,1995-02-22,US,1,Kansas
102,Willy HernangÃ³mez,C,6-11,250,1994-05-27,ES,3,
103,Michael Kidd-Gilchrist,PF,6-6,232,1993-09-26,US,7,Kentucky
104,Caleb Martin,SF,6-5,205,1995-09-28,US,R,"NC State, Nevada"
105,Cody Martin,SF,6-5,205,1995-09-28,US,R,"NC State, Nevada"
106,Jalen McDaniels,SF,6-10,205,1998-01-31,US,R,San Diego State
107,Malik Monk,SG,6-3,200,1998-02-04,US,2,Kentucky
108,Terry Rozier,PG,6-1,190,1994-03-17,US,4,Louisville
109,P.J. Washington,PF,6-7,230,1998-08-23,US,R,Kentucky
110,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
111,Cody Zeller,C,7-0,240,1992-10-05,US,6,Indiana
112,Marques Bolden,C,6-11,245,1998-04-17,US,R,Duke
113,Jordan Clarkson,SG,6-4,194,1992-06-07,US,5,"Tulsa, Missouri"
114,Tyler Cook,PF,6-8,255,1997-09-23,US,R,Iowa
115,Matthew Dellavedova,PG,6-3,200,1990-09-08,AU,6,Saint Mary's
116,Andre Drummond,C,6-10,279,1993-08-10,US,7,UConn
117,Dante Exum,SG,6-5,214,1995-07-13,AU,4,
118,Darius Garland,SG,6-1,192,2000-01-26,US,R,Vanderbilt
119,John Henson,C,6-9,219,1990-12-28,US,7,UNC
120,Brandon Knight,SG,6-2,182,1991-12-02,US,7,Kentucky
121,Kevin Love,PF,6-8,251,1988-09-07,US,11,UCLA
122,J.P. Macura,SG,6-5,203,1995-06-05,US,1,Xavier
123,Alfonzo McKinnie,SF,6-7,215,1992-09-17,US,2,Green Bay
124,Matt Mooney,SG,6-3,199,1997-02-07,US,R,"Air Force, South Dakota, Texas Tech"
125,Larry Nance,PF,6-7,245,1993-01-01,US,4,Wyoming
126,Malik Newman,SG,6-3,190,1997-02-21,US,R,"Mississippi State, Kansas"
127,Cedi Osman,SF,6-7,230,1995-04-08,MK,2,
128,Kevin Porter,SF,6-4,203,2000-05-04,US,R,USC
129,Collin Sexton,PG,6-1,190,1999-01-04,US,1,Alabama
130,Tristan Thompson,PF,6-9,254,1991-03-13,CA,8,Texas
131,Dean Wade,PF,6-9,228,1996-11-20,US,R,Kansas State
132,Ante Å½iÅ¾iÄ‡,C,6-10,266,1997-01-04,HR,2,
133,J.J. Barea,PG,5-10,180,1984-06-26,PR,13,Northeastern University
134,Ryan Broekhoff,SF,6-6,215,1990-08-23,AU,1,Valparaiso
135,Jalen Brunson,PG,6-1,190,1996-08-31,US,1,Villanova
136,Trey Burke,PG,6-0,185,1992-11-12,US,6,Michigan
137,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,4,Kentucky
138,Antonius Cleveland,SG,6-5,195,1994-02-02,US,1,SE Missouri State
139,Seth Curry,SG,6-2,185,1990-08-23,US,5,"Liberty, Duke"
140,Luka DonÄiÄ‡,PG,6-7,230,1999-02-28,SI,1,
141,Dorian Finney-Smith,PF,6-7,220,1993-05-04,US,3,Florida
142,Tim Hardaway,SG,6-5,205,1992-03-16,US,6,Michigan
143,Justin Jackson,PF,6-7,220,1995-03-28,US,2,UNC
144,Michael Kidd-Gilchrist,PF,6-6,232,1993-09-26,US,7,Kentucky
145,Maxi Kleber,PF,6-10,240,1992-01-29,DE,2,
146,Courtney Lee,SG,6-5,215,1985-10-03,US,11,Western Kentucky
147,Boban MarjanoviÄ‡,C,7-4,290,1988-08-15,RS,4,
148,Kristaps PorziÅ†Ä£is,C,7-3,240,1995-08-02,LV,3,
149,Dwight Powell,C,6-10,240,1991-07-20,CA,5,Stanford
150,Josh Reaves,SF,6-4,214,1997-06-04,US,R,Penn State
151,Delon Wright,PG,6-5,185,1992-04-26,US,4,Utah
152,Will Barton,SF,6-5,181,1991-01-06,US,7,Memphis
153,Keita Bates-Diop,SF,6-8,229,1996-01-23,US,1,Ohio State
154,Malik Beasley,SG,6-4,187,1996-11-26,US,3,Florida State
155,Bol Bol,PF,7-2,220,1999-11-16,SD,R,Oregon
156,Vlatko ÄŒanÄar,PF,6-8,236,1997-04-10,SI,R,
157,Tyler Cook,SF,6-8,255,1997-09-23,US,R,Iowa
158,Torrey Craig,SF,6-7,221,1990-12-19,US,2,USC Upstate
159,Troy Daniels,SG,6-4,200,1991-07-15,US,6,VCU
160,PJ Dozier,SG,6-6,205,1996-10-25,US,2,South Carolina
161,Jerami Grant,PF,6-8,210,1994-03-12,US,5,Syracuse
162,Gary Harris,SG,6-4,210,1994-09-14,US,5,Michigan State
163,Juan HernangÃ³mez,PF,6-9,214,1995-09-28,ES,3,
164,Nikola JokiÄ‡,C,7-0,284,1995-02-19,RS,4,
165,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
166,Paul Millsap,PF,6-7,257,1985-02-10,US,13,Louisiana Tech
167,Monte Morris,PG,6-2,183,1995-06-27,US,2,Iowa State
168,Jamal Murray,PG,6-4,215,1997-02-23,CA,3,Kentucky
169,Mason Plumlee,C,6-11,254,1990-03-05,US,6,Duke
170,Michael Porter,SF,6-10,218,1998-06-29,US,R,Missouri
171,Jarred Vanderbilt,PF,6-9,214,1999-04-03,US,1,Kentucky
172,Noah Vonleh,C,6-10,257,1995-08-24,US,5,Indiana
173,Jordan Bone,PG,6-3,180,1997-11-05,US,R,Tennessee
174,Bruce Brown,PG,6-4,202,1996-08-15,US,1,Miami (FL)
175,Sekou Doumbouya,PF,6-8,230,2000-12-23,GN,R,
176,Andre Drummond,C,6-10,279,1993-08-10,US,7,UConn
177,Tim Frazier,PG,6-0,170,1990-11-01,US,5,Penn State
178,Langston Galloway,SG,6-1,200,1991-12-09,US,5,Saint Joseph's
179,Blake Griffin,PF,6-9,250,1989-03-16,US,9,Oklahoma
180,Donta Hall,PF,6-9,232,1997-08-07,US,R,Alabama
181,John Henson,C,6-9,219,1990-12-28,US,7,UNC
182,Reggie Jackson,PG,6-3,208,1990-04-16,IT,8,Boston College
183,Luke Kennard,SG,6-5,206,1996-06-24,US,2,Duke
184,Louis King,SF,6-7,205,1999-04-06,US,R,Oregon
185,Brandon Knight,PG,6-2,182,1991-12-02,US,7,Kentucky
186,Thon Maker,C,7-0,221,1997-02-25,SS,3,
187,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
188,Markieff Morris,PF,6-8,245,1989-09-02,US,8,Kansas
189,Sviatoslav Mykhailiuk,SF,6-7,205,1997-06-10,UA,1,Kansas
190,Derrick Rose,PG,6-2,200,1988-10-04,US,10,Memphis
191,Tony Snell,SF,6-6,213,1991-11-10,US,6,New Mexico
192,Khyri Thomas,SG,6-3,210,1996-05-08,US,1,Creighton
193,Derrick Walton,PG,6-0,189,1995-04-03,US,1,Michigan
194,Christian Wood,PF,6-10,214,1995-09-27,US,3,UNLV
195,Dragan Bender,PF,7-0,225,1997-11-17,BA,3,
196,Ky Bowman,PG,6-1,187,1997-06-16,US,R,Boston College
197,Alec Burks,SF,6-6,214,1991-07-20,US,8,Colorado
198,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,4,Kentucky
199,Marquese Chriss,PF,6-9,240,1997-07-02,US,3,Washington
200,Stephen Curry,PG,6-3,185,1988-03-14,US,10,Davidson
201,Jacob Evans,SG,6-4,210,1997-06-18,US,1,Cincinnati
202,Draymond Green,PF,6-6,230,1990-03-04,US,7,Michigan State
203,Damion Lee,SG,6-5,210,1992-10-21,US,2,"Drexel, Louisville"
204,Kevon Looney,C,6-9,222,1996-02-06,US,4,UCLA
205,Mychal Mulder,SF,6-4,184,1994-06-12,CA,R,"Vincennes, Kentucky"
206,Zach Norvell,SG,6-5,206,1997-12-09,US,R,Gonzaga
207,Jeremy Pargo,PG,6-2,219,1986-03-17,US,2,Gonzaga
208,Eric Paschall,PF,6-6,255,1996-11-04,US,R,"Fordham, Villanova"
209,Jordan Poole,SG,6-4,194,1999-06-19,US,R,Michigan
210,Chasson Randle,PG,6-2,185,1993-02-05,US,2,Stanford
211,Glenn Robinson,SF,6-6,222,1994-01-08,US,5,Michigan
212,D'Angelo Russell,PG,6-4,193,1996-02-23,US,4,Ohio State
213,Alen SmailagiÄ‡,C,6-10,215,2000-08-18,RS,R,
214,Omari Spellman,C,6-8,245,1997-07-21,US,1,Villanova
215,Juan Toscano-Anderson,SG,6-6,209,1993-04-10,US,R,Marquette
216,Andrew Wiggins,SF,6-7,197,1995-02-23,CA,5,Kansas
217,Jonah Bolden,C,6-8,220,1996-01-02,AU,1,UCLA
218,Trey Burke,PG,6-0,185,1992-11-12,US,6,Michigan
219,Alec Burks,SG,6-6,214,1991-07-20,US,8,Colorado
220,Joel Embiid,C,7-0,280,1994-03-16,CM,3,Kansas
221,James Ennis,SF,6-6,215,1990-07-01,US,5,Cal State Long Beach
222,Tobias Harris,PF,6-8,226,1992-07-15,US,8,Tennessee
223,Al Horford,C,6-9,240,1986-06-03,DO,12,Florida
224,Furkan Korkmaz,SG,6-7,202,1997-07-24,TR,2,
225,Shake Milton,SG,6-5,205,1996-09-26,US,1,SMU
226,Raul Neto,PG,6-1,180,1992-05-19,BR,4,
227,Kyle O'Quinn,C,6-9,250,1990-03-26,US,7,Norfolk State
228,Norvel Pelle,C,6-10,231,1993-02-03,AG,R,
229,Josh Richardson,SG,6-5,200,1993-09-15,US,4,Tennessee
230,Glenn Robinson,SF,6-6,222,1994-01-08,US,5,Michigan
231,Mike Scott,PF,6-7,237,1988-07-16,US,7,Virginia
232,Marial Shayok,SG,6-5,198,1995-07-26,CA,R,"Virginia, Iowa State"
233,Ben Simmons,PG,6-10,240,1996-07-20,AU,2,LSU
234,Zhaire Smith,SF,6-3,205,1999-06-04,US,1,Texas Tech
235,Matisse Thybulle,SG,6-5,201,1997-03-04,US,R,Washington
236,Ryan Anderson,C,6-9,240,1988-05-06,US,11,California
237,Bruno Caboclo,C,6-9,218,1995-09-21,BR,5,
238,Clint Capela,C,6-10,240,1994-05-18,CH,5,
239,DeMarre Carroll,C,6-6,215,1986-07-27,US,10,"Vanderbilt, Missouri"
240,Tyson Chandler,C,7-0,235,1982-10-02,US,18,
241,Gary Clark,PF,6-6,225,1994-11-16,US,1,Cincinnati
242,Chris Clemons,SG,5-9,180,1997-07-23,US,R,Campbell
243,Robert Covington,C,6-7,209,1990-12-14,US,6,Tennessee State
244,Michael Frazier,SG,6-3,200,1994-03-08,US,R,Florida
245,Eric Gordon,SF,6-3,215,1988-12-25,US,11,Indiana
246,Jeff Green,C,6-8,235,1986-08-28,US,11,Georgetown
247,James Harden,SG,6-5,220,1989-08-26,US,10,Arizona State
248,Isaiah Hartenstein,C,7-0,249,1998-05-05,US,1,
249,Danuel House,SF,6-6,220,1993-06-07,US,3,Texas A&M
250,William Howard,PF,6-8,207,1993-10-25,FR,R,
251,Luc Mbah a Moute,PF,6-8,230,1986-09-09,CM,11,UCLA
252,Ben McLemore,SF,6-3,195,1993-02-11,US,6,Kansas
253,Austin Rivers,SG,6-3,200,1992-08-01,US,7,Duke
254,Thabo Sefolosha,PF,6-6,215,1984-05-02,CH,13,
255,P.J. Tucker,PF,6-5,245,1985-05-05,US,8,Texas
