,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
510,Matisse Thybulle,SG,6-5,201,1997-03-04,US,R,Washington
511,Deandre Ayton,C,6-11,250,1998-07-23,BS,1,Arizona
512,Aron Baynes,C,6-10,260,1986-12-09,NZ,7,Washington State
513,Jonah Bolden,C,6-8,220,1996-01-02,AU,1,UCLA
514,Devin Booker,SG,6-5,206,1996-10-30,US,4,Kentucky
515,Mikal Bridges,SF,6-6,209,1996-08-30,US,1,Villanova
516,Jevon Carter,PG,6-1,200,1995-09-14,US,1,West Virginia
517,Cheick Diallo,C,6-8,219,1996-09-13,ML,3,Kansas
518,Jared Harper,PG,5-11,175,1997-09-14,US,R,Auburn
519,Ty Jerome,SG,6-5,195,1997-07-08,US,R,Virginia
520,Cameron Johnson,PF,6-8,210,1996-03-03,US,R,"Pitt, UNC"
521,Tyler Johnson,PG,6-3,186,1992-05-07,US,5,Fresno State
522,Frank Kaminsky,C,7-0,240,1993-04-04,US,4,Wisconsin
523,Jalen Lecque,SG,6-3,185,2000-06-13,US,R,
524,Elie Okobo,PG,6-3,190,1997-10-23,FR,1,
525,Kelly Oubre,SF,6-7,203,1995-12-09,US,4,Kansas
526,Tariq Owens,PF,6-10,205,1995-06-30,US,R,"Tennessee, St. John's, Texas Tech"
527,Cameron Payne,SG,6-3,190,1994-08-08,US,4,Murray State
528,Ricky Rubio,PG,6-3,190,1990-10-21,ES,8,
529,Dario Å ariÄ‡,PF,6-10,225,1994-04-08,HR,3,
530,Jaylen Adams,PG,6-2,190,1996-05-04,US,1,St. Bonaventure
531,Carmelo Anthony,PF,6-8,238,1984-05-29,US,16,Syracuse
532,Trevor Ariza,SF,6-8,215,1985-06-30,US,15,UCLA
533,Kent Bazemore,SF,6-4,195,1989-07-01,US,7,Old Dominion
534,Moses Brown,C,7-2,245,1999-10-13,US,R,UCLA
535,Zach Collins,PF,6-11,250,1997-11-19,US,2,Gonzaga
536,Wenyen Gabriel,PF,6-9,200,1997-03-26,SD,R,Kentucky
537,Mario Hezonja,PF,6-8,220,1995-02-25,HR,4,
538,Jaylen Hoard,PF,6-8,216,1999-03-30,FR,R,Wake Forest
539,Rodney Hood,SF,6-8,208,1992-10-20,US,5,"Mississippi State, Duke"
540,Skal LabissiÃ¨re,C,6-10,235,1996-03-18,HT,3,Kentucky
541,Damian Lillard,PG,6-2,195,1990-07-15,US,7,Weber State
542,Nassir Little,PF,6-5,220,2000-02-11,US,R,UNC
543,CJ McCollum,SG,6-3,190,1991-09-19,US,6,Lehigh
544,Jusuf NurkiÄ‡,C,7-0,290,1994-08-23,BA,5,
545,Anfernee Simons,SG,6-3,181,1999-06-08,US,1,
546,Caleb Swanigan,PF,6-9,260,1997-04-18,US,2,Purdue
547,Anthony Tolliver,PF,6-8,240,1985-06-01,US,11,Creighton
548,Gary Trent,SF,6-5,209,1999-01-18,US,1,Duke
549,Hassan Whiteside,C,7-0,265,1989-06-13,US,7,Marshall
550,Trevor Ariza,SF,6-8,215,1985-06-30,US,15,UCLA
551,Marvin Bagley,C,6-11,235,1999-03-14,US,1,Duke
552,Harrison Barnes,PF,6-8,225,1992-05-30,US,7,UNC
553,Kent Bazemore,SF,6-4,195,1989-07-01,US,7,Old Dominion
554,Nemanja Bjelica,PF,6-10,234,1988-05-09,RS,4,
555,Bogdan BogdanoviÄ‡,SG,6-6,220,1992-08-18,RS,2,
556,Corey Brewer,PF,6-9,186,1986-03-05,US,12,Florida
557,Dewayne Dedmon,C,7-0,245,1989-08-12,US,6,USC
558,Yogi Ferrell,PG,6-0,178,1993-05-09,US,3,Indiana
559,De'Aaron Fox,PG,6-3,185,1997-12-20,US,2,Kentucky
560,Wenyen Gabriel,PF,6-9,200,1997-03-26,SD,R,Kentucky
561,Harry Giles,C,6-11,240,1998-04-22,US,1,Duke
562,Kyle Guy,SG,6-1,167,1997-08-11,US,R,Virginia
563,Buddy Hield,SG,6-4,220,1992-12-17,BS,3,Oklahoma
564,Richaun Holmes,C,6-10,235,1993-10-15,US,4,Bowling Green
565,Justin James,SF,6-7,190,1997-01-24,US,R,Wyoming
566,DaQuan Jeffries,SG,6-5,230,1997-08-30,US,R,"Oral Roberts, Tulsa"
567,Cory Joseph,PG,6-3,200,1991-08-20,CA,8,Texas
568,Alex Len,C,7-0,250,1993-06-16,UA,6,Maryland
569,Eric Mika,C,6-10,230,1995-01-05,US,R,BYU
570,Jabari Parker,PF,6-8,245,1995-03-15,US,5,Duke
571,Caleb Swanigan,C,6-9,260,1997-04-18,US,2,Purdue
572,Anthony Tolliver,PF,6-8,240,1985-06-01,US,11,Creighton
573,LaMarcus Aldridge,C,6-11,250,1985-07-19,US,13,Texas
574,Marco Belinelli,SG,6-5,220,1986-03-25,IT,12,
575,DeMarre Carroll,SF,6-6,215,1986-07-27,US,10,"Vanderbilt, Missouri"
576,DeMar DeRozan,SF,6-6,220,1989-08-07,US,10,USC
577,Drew Eubanks,C,6-9,245,1997-02-01,US,1,Oregon State
578,Bryn Forbes,SG,6-2,205,1993-07-23,US,3,Michigan State
579,Rudy Gay,PF,6-8,250,1986-08-17,US,13,UConn
580,Keldon Johnson,SF,6-5,220,1999-10-11,US,R,Kentucky
581,Trey Lyles,PF,6-9,234,1995-11-05,CA,4,Kentucky
582,Chimezie Metu,C,6-9,225,1997-03-22,US,1,USC
583,Patty Mills,PG,6-1,180,1988-08-11,AU,10,Saint Mary's
584,Dejounte Murray,PG,6-4,180,1996-09-19,US,2,Washington
585,Jakob Poeltl,C,7-1,245,1995-10-15,AT,3,Utah
586,Luka Å amaniÄ‡,PF,6-10,227,2000-01-09,HR,R,
587,Lonnie Walker,SG,6-5,204,1998-12-14,US,1,Miami (FL)
588,Quinndary Weatherspoon,SG,6-3,205,1996-09-10,US,R,Mississippi State
589,Derrick White,SG,6-4,190,1994-07-02,US,2,"Colorado-Colorado Springs, Colorado"
590,Tyler Zeller,C,7-0,253,1990-01-17,US,7,UNC
591,OG Anunoby,SF,6-7,232,1997-07-17,GB,2,Indiana
592,Chris Boucher,C,6-9,200,1993-01-11,LC,2,Oregon
593,Oshae Brissett,SF,6-7,210,1998-06-20,CA,R,Syracuse
594,Terence Davis,SG,6-4,201,1997-05-16,US,R,Ole Miss
595,Marc Gasol,C,6-11,255,1985-01-29,ES,11,
596,Dewan Hernandez,C,6-10,235,1996-12-09,US,R,Miami (FL)
597,Rondae Hollis-Jefferson,PF,6-6,217,1995-01-03,US,4,Arizona
598,Serge Ibaka,C,7-0,235,1989-09-18,CG,10,
599,Stanley Johnson,PF,6-6,242,1996-05-29,US,4,Arizona
600,Kyle Lowry,PG,6-0,196,1986-03-25,US,13,Villanova
601,Patrick McCaw,SF,6-7,181,1995-10-25,US,3,UNLV
602,Malcolm Miller,SF,6-7,210,1993-03-06,US,2,Holy Cross
603,Shamorie Ponds,PG,6-0,180,1998-06-29,US,R,St. John's
604,Norman Powell,SG,6-3,215,1993-05-25,US,4,UCLA
605,Pascal Siakam,PF,6-9,230,1994-04-02,CM,3,New Mexico State
606,Matt Thomas,SG,6-4,190,1994-08-04,US,R,Iowa State
607,Fred VanVleet,SG,6-1,197,1994-02-25,US,3,Wichita State
608,Paul Watson,SF,6-7,215,1994-12-30,US,R,Fresno State
609,Bojan BogdanoviÄ‡,SF,6-8,226,1989-04-18,BA,5,
610,Tony Bradley,C,6-10,248,1998-01-08,US,2,UNC
611,Jarrell Brantley,PF,6-5,250,1996-06-07,US,R,College of Charleston
612,Jordan Clarkson,SG,6-4,194,1992-06-07,US,5,"Tulsa, Missouri"
613,Mike Conley,PG,6-1,175,1987-10-11,US,12,Ohio State
614,Ed Davis,C,6-9,218,1989-06-05,US,9,UNC
615,Dante Exum,SG,6-5,214,1995-07-13,AU,4,
616,Rudy Gobert,C,7-1,258,1992-06-26,FR,6,
617,Jeff Green,PF,6-8,235,1986-08-28,US,11,Georgetown
618,Joe Ingles,PF,6-7,220,1987-10-02,AU,5,
619,Stanton Kidd,SG,6-6,215,1992-03-18,US,R,"South Plains College, NC Central, Colorado State"
620,Donovan Mitchell,SG,6-1,215,1996-09-07,US,2,Louisville
621,Juwan Morgan,PF,6-8,232,1997-04-17,US,R,Indiana
622,Emmanuel Mudiay,PG,6-3,200,1996-03-05,CD,4,
623,Georges Niang,PF,6-7,230,1993-06-17,US,3,Iowa State
624,Royce O'Neale,SF,6-4,226,1993-06-05,US,2,"Denver, Baylor"
625,Miye Oni,SF,6-5,206,1997-08-04,US,R,Yale
626,Rayjon Tucker,SG,6-5,210,1997-09-24,US,R,
627,Nigel Williams-Goss,PG,6-2,190,1994-09-16,US,R,"Gonzaga, Washington"
628,Justin Wright-Foreman,PG,6-0,190,1997-10-27,US,R,Hofstra
629,Bradley Beal,SG,6-3,207,1993-06-28,US,7,Florida
630,DÄvis BertÄns,PF,6-10,225,1992-11-12,LV,3,
631,Isaac Bonga,SF,6-8,180,1999-11-08,DE,1,
632,Troy Brown,SF,6-6,215,1999-07-28,US,1,Oregon
633,Thomas Bryant,C,6-10,248,1997-07-31,US,2,Indiana
634,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
635,Jerian Grant,SG,6-4,205,1992-10-09,US,4,Notre Dame
636,Rui Hachimura,PF,6-8,230,1998-02-08,JP,R,Gonzaga
637,Ian Mahinmi,C,6-11,262,1986-11-05,FR,11,
638,Garrison Mathews,SG,6-5,215,1996-10-24,US,R,Lipscomb
639,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
640,C.J. Miles,SF,6-6,220,1987-03-18,US,14,
641,Shabazz Napier,PG,6-0,175,1991-07-14,US,5,UConn
642,AnÅ¾ejs PaseÄÅ†iks,C,7-1,229,1995-12-20,LV,R,
643,Gary Payton,SF,6-3,190,1992-12-01,US,3,Oregon State
644,Jerome Robinson,SG,6-4,190,1997-02-22,US,1,Boston College
645,Justin Robinson,PG,6-1,195,1997-10-12,US,R,Virginia Tech
646,Admiral Schofield,PF,6-5,241,1997-03-30,GB,R,Tennessee
647,Ish Smith,PG,6-0,175,1988-07-05,US,9,Wake Forest
648,Isaiah Thomas,PG,5-9,185,1989-02-07,US,8,Washington
649,Jarrod Uthoff,PF,6-9,221,1993-05-19,US,1,Iowa
650,Moritz Wagner,C,6-11,245,1997-04-26,DE,1,Michigan
651,Johnathan Williams,PF,6-9,228,1995-05-22,US,1,"Missouri, Gonzaga"
652,Bradley Beal,SG,6-3,207,1993-06-28,US,7,Florida
653,DÄvis BertÄns,PF,6-10,225,1992-11-12,LV,3,
654,Isaac Bonga,SF,6-8,180,1999-11-08,DE,1,
655,Troy Brown,SF,6-6,215,1999-07-28,US,1,Oregon
656,Thomas Bryant,C,6-10,248,1997-07-31,US,2,Indiana
657,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
658,Jerian Grant,SG,6-4,205,1992-10-09,US,4,Notre Dame
659,Rui Hachimura,PF,6-8,230,1998-02-08,JP,R,Gonzaga
660,Ian Mahinmi,C,6-11,262,1986-11-05,FR,11,
661,Garrison Mathews,SG,6-5,215,1996-10-24,US,R,Lipscomb
662,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
663,C.J. Miles,SF,6-6,220,1987-03-18,US,14,
664,Shabazz Napier,PG,6-0,175,1991-07-14,US,5,UConn
665,AnÅ¾ejs PaseÄÅ†iks,C,7-1,229,1995-12-20,LV,R,
666,Gary Payton,SF,6-3,190,1992-12-01,US,3,Oregon State
667,Jerome Robinson,SG,6-4,190,1997-02-22,US,1,Boston College
668,Justin Robinson,PG,6-1,195,1997-10-12,US,R,Virginia Tech
669,Admiral Schofield,PF,6-5,241,1997-03-30,GB,R,Tennessee
670,Ish Smith,PG,6-0,175,1988-07-05,US,9,Wake Forest
671,Isaiah Thomas,PG,5-9,185,1989-02-07,US,8,Washington
672,Jarrod Uthoff,PF,6-9,221,1993-05-19,US,1,Iowa
673,Moritz Wagner,C,6-11,245,1997-04-26,DE,1,Michigan
674,Johnathan Williams,PF,6-9,228,1995-05-22,US,1,"Missouri, Gonzaga"
675,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,2,Villanova
676,Wendell Carter,C,6-9,270,1999-04-16,US,1,Duke
677,Kris Dunn,PG,6-3,205,1994-03-18,US,3,Providence
678,Cristiano FelÃ­cio,C,6-10,270,1992-07-07,BR,4,
679,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
680,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
681,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
682,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
683,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
684,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
685,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
686,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
687,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
688,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
689,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
690,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
691,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
692,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,2,Villanova
693,Wendell Carter,C,6-9,270,1999-04-16,US,1,Duke
694,Kris Dunn,PG,6-3,205,1994-03-18,US,3,Providence
695,Cristiano FelÃ­cio,C,6-10,270,1992-07-07,BR,4,
696,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
697,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
698,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
699,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
700,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
701,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
702,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
703,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
704,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
705,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
706,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
707,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
708,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
709,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,2,Villanova
710,Wendell Carter,C,6-9,270,1999-04-16,US,1,Duke
711,Kris Dunn,PG,6-3,205,1994-03-18,US,3,Providence
712,Cristiano FelÃ­cio,C,6-10,270,1992-07-07,BR,4,
713,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
714,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
715,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
716,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
717,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
718,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
719,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
720,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
721,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
722,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
723,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
724,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
725,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
726,Goga Bitadze,C,6-11,250,1999-07-20,GE,R,
727,Brian Bowen,SF,6-6,190,1998-10-02,US,R,
728,Malcolm Brogdon,PG,6-5,229,1992-12-11,US,3,Virginia
729,Aaron Holiday,PG,6-0,185,1996-09-30,US,1,UCLA
730,Justin Holiday,SF,6-6,180,1989-04-05,US,6,Washington
731,Alize Johnson,PF,6-7,212,1996-04-22,US,1,Missouri State
732,Jeremy Lamb,SG,6-5,180,1992-05-30,US,7,UConn
733,T.J. Leaf,PF,6-10,222,1997-04-30,IL,2,UCLA
734,T.J. McConnell,PG,6-1,190,1992-03-25,US,4,"Duquesne, Arizona"
735,Doug McDermott,PF,6-7,225,1992-01-03,US,5,Creighton
736,Naz Mitrou-Long,SG,6-3,218,1993-08-03,CA,2,Iowa State
737,Victor Oladipo,SG,6-4,213,1992-05-04,US,6,Indiana
738,Domantas Sabonis,PF,6-11,240,1996-05-03,US,3,Gonzaga
739,JaKarr Sampson,PF,6-7,214,1993-03-20,US,4,St. John's
740,Edmond Sumner,SG,6-4,196,1995-12-31,US,2,Xavier
741,Myles Turner,C,6-11,250,1996-03-24,US,4,Texas
742,T.J. Warren,SF,6-8,220,1993-09-05,US,5,NC State
743,Bradley Beal,SG,6-3,207,1993-06-28,US,7,Florida
744,DÄvis BertÄns,PF,6-10,225,1992-11-12,LV,3,
745,Isaac Bonga,SF,6-8,180,1999-11-08,DE,1,
746,Troy Brown,SF,6-6,215,1999-07-28,US,1,Oregon
747,Thomas Bryant,C,6-10,248,1997-07-31,US,2,Indiana
748,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
749,Jerian Grant,SG,6-4,205,1992-10-09,US,4,Notre Dame
750,Rui Hachimura,PF,6-8,230,1998-02-08,JP,R,Gonzaga
751,Ian Mahinmi,C,6-11,262,1986-11-05,FR,11,
752,Garrison Mathews,SG,6-5,215,1996-10-24,US,R,Lipscomb
753,Jordan McRae,SG,6-5,179,1991-03-28,US,3,Tennessee
754,C.J. Miles,SF,6-6,220,1987-03-18,US,14,
755,Shabazz Napier,PG,6-0,175,1991-07-14,US,5,UConn
756,AnÅ¾ejs PaseÄÅ†iks,C,7-1,229,1995-12-20,LV,R,
757,Gary Payton,SF,6-3,190,1992-12-01,US,3,Oregon State
758,Jerome Robinson,SG,6-4,190,1997-02-22,US,1,Boston College
759,Justin Robinson,PG,6-1,195,1997-10-12,US,R,Virginia Tech
760,Admiral Schofield,PF,6-5,241,1997-03-30,GB,R,Tennessee
761,Ish Smith,PG,6-0,175,1988-07-05,US,9,Wake Forest
762,Isaiah Thomas,PG,5-9,185,1989-02-07,US,8,Washington
763,Jarrod Uthoff,PF,6-9,221,1993-05-19,US,1,Iowa
764,Moritz Wagner,C,6-11,245,1997-04-26,DE,1,Michigan
765,Johnathan Williams,PF,6-9,228,1995-05-22,US,1,"Missouri, Gonzaga"
